Method,Run,Iteration,RMSE,Fitness,Time_ms,Trans_Error_m,Rot_Error_deg,P2P_RMSE,Chamfer_Distance,dx_wx,dx_wy,dx_wz,dx_x,dx_y,dx_z,grad_wx,grad_wy,grad_wz,grad_x,grad_y,grad_z,objective_value,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Full_SVD,Degenerate_0,Degenerate_1,Degenerate_2,Degenerate_3,Degenerate_4,Degenerate_5,Is_Degenerate
ME-SR,0,8,0.20560860,0.05845015,0.69862200,3.73808840,0.96182104,0.02306997,0.93184086,-0.00101108,0.00033778,0.00199856,0.00006543,0.00002886,-0.00002034,14.05274880,-4.35834537,-1.42301704,0.99283701,3.63239387,-0.36130000,3.04502763,0.99940491,-0.03158407,-0.01386624,0.19935480,0.03076819,0.99798110,-0.05556123,0.79683182,0.01559310,0.05510153,0.99835899,0.50041625,0.00000000,0.00000000,0.00000000,1.00000000,5.29378822,30.36473772,21.29922278,45.39878145,18507.00046201,1,1,1,0,0,0,1
ME-SR,0,9,0.19845087,0.05924359,0.55889300,3.72831684,0.96183333,0.02302858,0.92998915,-0.00031008,-0.00002705,0.00017929,0.00000186,0.00001512,-0.00000210,5.04768798,0.72702544,-0.06064627,1.08320144,4.05339212,-0.34541974,2.92493281,0.99939886,-0.03175895,-0.01390310,0.19935621,0.03094563,0.99799274,-0.05525262,0.79684708,0.01562995,0.05478916,0.99837561,0.50041501,0.00000000,0.00000000,0.00000000,1.00000000,5.82476209,30.88741096,17.22297907,41.50757760,18050.72918488,1,1,1,0,0,0,1
ME-SR,0,10,0.19673312,0.05937583,0.54297500,3.67342598,0.96187235,0.02246183,0.92725945,-0.00024027,0.00007899,-0.00155293,-0.00001998,0.00004083,0.00001951,4.35909711,-1.34373309,1.73744766,1.01624904,4.07769613,-0.33784631,2.92246422,0.99944806,-0.03020359,-0.01383159,0.19933468,0.02940012,0.99805285,-0.05501044,0.79688613,0.01546617,0.05457342,0.99838997,0.50043642,0.00000000,0.00000000,0.00000000,1.00000000,5.50299065,30.75643019,16.61631329,41.89442767,17900.34158352,1,1,1,0,0,0,1
ME-SR,0,11,0.20020115,0.05818567,0.54273900,3.70155989,0.96185878,0.02288378,0.92821951,0.00001442,-0.00012334,0.00095693,0.00000661,-0.00001167,-0.00001116,-0.04325440,1.78702445,-0.75396552,1.29701986,4.04208671,-0.26812755,2.87209398,0.99941699,-0.03116018,-0.01395443,0.19934179,0.03034839,0.99802347,-0.05502851,0.79687529,0.01564154,0.05457294,0.99838727,0.50042474,0.00000000,0.00000000,0.00000000,1.00000000,5.39041494,30.03663969,21.16318348,40.38639599,18530.50777227,1,1,1,0,0,0,1
ME-SR,0,12,0.19706568,0.05858239,0.54889300,3.64875350,0.96189191,0.02255807,0.92585040,-0.00019166,-0.00000673,-0.00162619,-0.00002415,0.00003381,0.00002175,3.69452691,-0.00325971,1.84189301,1.19752572,3.94694426,-0.31885938,2.83801960,0.99946624,-0.02953222,-0.01396696,0.19931630,0.02872500,0.99808203,-0.05483743,0.79690711,0.01555965,0.05440695,0.99839761,0.50044792,0.00000000,0.00000000,0.00000000,1.00000000,5.00291722,28.98521229,15.98711335,40.21921464,18092.38548566,1,1,1,0,0,0,1
ME-SR,0,13,0.19897482,0.05884687,0.56864800,3.67732716,0.96188932,0.02268033,0.92503930,-0.00029216,0.00005427,0.00162254,0.00003747,-0.00000493,-0.00001562,4.31634902,-0.50375697,-1.34337280,1.24723238,3.98956057,-0.34412531,2.88386673,0.99941777,-0.03114978,-0.01392159,0.19935412,0.03034737,0.99805008,-0.05454423,0.79690412,0.01559348,0.05408999,0.99841430,0.50043264,0.00000000,0.00000000,0.00000000,1.00000000,4.90190973,28.99024319,20.88263276,44.75411803,18607.47648662,1,1,1,0,0,0,1
ME-SR,0,14,0.19754146,0.05752446,0.53995000,3.63867628,0.96190773,0.02186065,0.92436318,0.00007320,0.00003095,-0.00155346,-0.00002093,0.00001613,0.00002069,-0.54025242,-0.93365347,1.73130301,1.09154844,4.10243121,-0.31071664,2.76768626,0.99946539,-0.02959821,-0.01388843,0.19933241,0.02879859,0.99809203,-0.05461637,0.79691845,0.01547848,0.05418720,0.99841082,0.50045384,0.00000000,0.00000000,0.00000000,1.00000000,4.94652613,28.63631773,15.68098688,39.30608113,18017.99980735,1,1,1,0,0,0,1
ME-SR,0,15,0.19822608,0.05911135,0.54439600,3.66622862,0.96190230,0.02227853,0.92399464,-0.00025196,-0.00015288,0.00140641,0.00001939,-0.00000486,-0.00001260,4.19476098,2.92768451,-1.17349516,1.67335602,3.91349466,-0.34303884,2.87052320,0.99942064,-0.03100031,-0.01404887,0.19935211,0.03019397,0.99806427,-0.05436940,0.79691485,0.01570714,0.05391371,0.99842205,0.50044130,0.00000000,0.00000000,0.00000000,1.00000000,4.90897842,29.16230365,20.82155747,44.81869249,18702.08084327,1,1,1,0,0,0,1
ME-SR,0,16,0.19671644,0.05792118,0.54874700,3.63164317,0.96191802,0.02206905,0.92356810,0.00016816,0.00031047,-0.00143793,-0.00000121,0.00000877,0.00001818,-2.37355024,-5.62725082,1.64617849,0.74087020,4.19667549,-0.30038477,2.76678293,0.99946849,-0.02956551,-0.01373347,0.19935037,0.02877570,0.99809751,-0.05452808,0.79692257,0.01531950,0.05410391,0.99841779,0.50045990,0.00000000,0.00000000,0.00000000,1.00000000,4.90781447,28.78408244,15.55790077,39.63062799,18048.98733801,1,1,1,0,0,0,1
ME-SR,0,17,0.19744508,0.05831791,0.56340200,3.65944083,0.96191388,0.02216453,0.92294330,-0.00030722,-0.00017648,0.00150095,0.00001941,-0.00000280,-0.00001358,5.03972885,3.44659051,-1.25339526,1.62049448,3.75936400,-0.33760161,2.79484473,0.99942056,-0.03106138,-0.01391917,0.19937005,0.03026418,0.99806991,-0.05422666,0.79692108,0.01557666,0.05377399,0.99843163,0.50044649,0.00000000,0.00000000,0.00000000,1.00000000,4.92788243,29.13975380,20.66038856,44.27011440,18763.58323093,1,1,1,0,0,0,1
